,Title,Type/Region,Date,Author,Content
0,Gov. J.B. Pritzker orders stepped-up fight against HIV,Midwest,2019-02-01T11:44:00CST,Associated Press,Gov. J.B. Pritzker has directed his administration to enhance efforts to eliminate HIV. The Democrat signed an executive order in Rockford Friday to re-establish state funding for testing and treatment programs he says former Republican Gov. Bruce Rauner discontinued. The order also directs the...
1,"American leaks HIV records of 14,200 patients, Singapore officials say",Health,2019-01-28T12:38:00CST,Saket Sundria,"Records of as many as 14,200 people with HIV and their 2,400 contacts have been ""illegally disclosed online,"" Singapore's health ministry said in a statement, marking the second cyberattack the city-state has suffered in a year. The HIV-registry data was leaked by a U.S. citizen, Mikhy K. Farrera..."
2,No new HIV cases by 2030? Advocates in Chicago applaud Trump goal but question how it will be carried out.,Life & Style,2019-02-07T14:05:00CST,Kate Thayer,"After state and national leaders announced efforts to eliminate the spread of HIV over the next decade, those involved in prevention efforts in Chicago applauded the plan but questioned how it would be carried out, particularly when it comes to reaching those who are disproportionately affected..."
3,Ruth M. Rothstein CORE Center and Cook County Health HIV Integrated Program launch 'CORE Healthy Aging Initiative 2.0',Arlington Heights Community,2019-01-14T09:39:40CST,Community Contributor caitlin.polochak,"In 2018, 920 people aged 60 years or older living with HIV received primary are at the Ruth M. Rothstein CORE Center. As people living with HIV age, a significant proportion are socially isolated and have little or no family support while dealing with increasing medical and psycho-social comorbidities,..."
4,Airmen sue military for firing them after they tested positive for HIV,Nation & World,2018-12-19T14:38:00CST,Paul Sonne,"Testing positive for HIV was difficult enough. Getting forced out of the military by the Air Force because of the diagnosis proved even harder. So say two U.S. airmen who filed suit on Wednesday against Defense Secretary Jim Mattis in the U.S. District Court for the Eastern District of Virginia,..."
5,Trump administration threatens future of HIV research hub,Nation & World,2018-12-04T23:46:00CST,Amy Goldstein,The Trump administration has thrown into doubt a multimillion-dollar research contract to test new treatments for HIV that relies on fetal tissue - work targeted by anti-abortion lawmakers and social conservatives aligned with the president. The turmoil over the National Institutes of Health contract...
6,Charges dropped against man accused of criminal transmission of HIV,Breaking News,2017-04-20T16:30:50CDT,Brian L. Cox,"Charges were dropped Thursday against a man accused of criminal transmission of the HIV virus.The case against Jimmy Amutavi, a personal trainer from Wilmette, stemmed from claims from three women that he had unprotected sex with them without revealing he has the virus that causes AIDS, according..."
7,"Everyone at high risk of HIV should be offered preventive meds, panel says",Health,2018-11-20T12:00:00CST,Lenny Bernstein,"An influential panel of medical experts recommended for the first time Tuesday that physicians offer preventive medication to anyone at high risk of acquiring HIV. The U.S. Preventive Services Task Force estimated that 1.2 million people are eligible for the daily drug regimen, which is very effective..."
8,"Hepatitis C, HIV clinic opens in Hammond",Post-Tribune News,2018-12-14T20:30:00CST,None,None
9,Man accused of biting northwest suburban cop's leg in attempt to transmit HIV virus,Suburbs,2018-11-30T15:35:00CST,Amanda Marrazzo,"A McHenry County man is accused of biting a police officer in an attempt to transmit the HIV virus. Christopher Seerden, 37, is also accused of spitting on and attempting to punch and kick another officer, according to police and court records. Authorities said the scuffle with the officers occurred..."
