Title,Date,Content
Marking 15 years of US-Caribbean partnership to tackle HIV/AIDS," December 1, 2018 ","(Today) On December 1, the world stands together to commemorate World AIDS Day by celebrating ..."
Caribbean Archives Association provides post-hurricane recovery assistance to Dominica," April 15, 2018 ",Dominica has received some assistance from the Caribbean Archives Association (CARBICA) in the ...
OECS Continues to Strengthen Treatment and Care of HIV-TB Patients," October 30, 2017 ","OECS Media Release Monday, October 30, 2017 — As part of its strategic goal of eliminating ..."
OECS discuss sustainability of HIV/TB programmes," October 16, 2017 ","Friday, October 13, 2017 — Raising awareness on communicable diseases and providing ..."
Over 300 sites available for free HIV testing on Regional Testing Day," June 28, 2017 ",Regional Testing Day (RTD) is celebrating its 10th Anniversary this Friday June 30 when people ...
Dominica receives HIV & AIDS regional testing award," June 6, 2017 ",Dominica’s Ministry of Health and Environment National HIV & AIDS Response Programme has ...
Mother-to-child transmission of HIV and syphilis slows down in Caribbean," May 25, 2017 ",A new report by the Pan American Health Organization (PAHO) shows that progress towards the ...
Regional youth leaders told to use powerful voice to end HIV/AIDS," April 24, 2017 ","The Pan Caribbean Partnership against HIV and AIDS (PANCAP), Meeting of Caribbean Youth Leaders ..."
Call for putting people over politics in HIV fight," March 15, 2017 ","Live Up Caribbean Media Alliance Executive Director, Dr. Allyson Leacock, has urged all ..."
CIBC donates to National HIV/AIDS Response Programme," December 8, 2016 ","CIBC FirstCaribbean International Bank presented a cheque for EC $6,000 to the National ..."
Dominica reports total of 444 confirmed cases of HIV/AIDS since 1987," August 25, 2016 ",Dominica is reporting a total of 444 confirmed cases of people infected with HIV/AIDS since the ...
Prevalence of HIV/AIDS remains high in Caribbean," December 1, 2015 ","As the world observes World AIDS Day today (Tuesday, December 1), the prevalence of HIV/AIDS ..."
Rapid HIV testing an achievement of HIV and Aids Response Unit – Frampton," November 10, 2015 ","Former Coordinator of the National HIV and AIDS Response Unit, Nurse Julie Frampton, has said ..."
Shiv joins teams for Rally Round Dominica," September 26, 2015 ",Shivnarine Chanderpaul has joined to the list of players to participate in the “Rally ...
Men top list of new HIV cases in Dominica," July 23, 2015 ","Coordinator of the National HIV and AIDS Response Unit, Julie Frampton, has said the island ..."
Caribbean contributes to global goal of 15 million people on life-saving HIV treatment by 2015," July 19, 2015 ",The AIDS targets of Millennium Development Goal 6— halting and reversing the spread of ...
Caribbean leads world in reduction of new HIV infection – UN," July 16, 2015 ","The United Nations is reporting major progress by the Caribbean in battling HIV/AIDS, with the ..."
Caribbean could eliminate mother to child HIV transmission by 2030 – PAHO Director," July 9, 2015 ",Director of the Pan American Health Organization (PAHO) Dr. Carissa Etienne says the Caribbean ...
Cuba becomes first country to eliminate mother-to-child HIV transmission," July 1, 2015 ",On Tuesday Cuba became the first country to be validated by the World Health Organization as ...
COMMENTARY: A case for Shivnarine Chanderpaul – in his own figures," May 15, 2015 ",In the prelude to the English versus West Indies (WI) series and surely in its subsequent wake ...
More HIV cases reported for first quarter of 2015," April 22, 2015 ","The National HIV/AIDS Unit is reporting seven to eight new cases of the deadly virus, HIV, ..."
