Title,Date,Author,Content
Men get HIV/AIDS education," July 15, 2015"," LISA KING,",                    MEN’S LIKELIHOOD TO engage in risky behaviour both socially and sexually has prompted the hosting of a seminar about HIV for older men.
Woman in Suriname arrested for alleged intentional HIV infection," February 19, 2018"," NATASHA BECKLES,",                    PARAMARIBO – The police in Suriname have arrested a woman may have deliberately infected her partner with HIV.The police report that the woman’s male partner filed a report last week Wednesday after finding out that the 38-year-old woman was infected with HIV.The man told the police that he was in an intimate relationship with the woman for the past two years.
HIV setback," July 10, 2014"," NATASHA BECKLES,",                    A MISSISSIPPI GIRL born with the AIDS virus and in remission for more  than two years despite stopping treatment now shows signs that she still  harbours HIV - and therefore is not cured. The news is a setback to  hopes that very early treatment with powerful HIV drugs might reverse an  infection that has seemed permanent once it takes hold.
Two male porn actors test positive for HIV," December 31, 2014"," AP,","                    LOS ANGELES (AP) – Two adult film actors have contracted HIV, with one most likely infecting the other during unprotected sex ..."
"TALKBACK: Online readers weigh in on HIV/AIDS, alcohol"," May 11, 2015"," Sherrylyn A. Toppin,",HIV/AIDS AND ALCOHOLISM both engaged the attention of online readers last week.
More men contracting HIV," August 16, 2015"," Sherrylyn A. Toppin,","                    A HIGHER NUMBER of Barbadian men, more so than women, are being affected by the HIV epidemic and Minister of Social Care, Steve Blackett is calling for closer links to be forged with them.This he said would help to empower them to adopt healthy lifestyle practices and to make sexual decisions from an informed position."
Sheen paid out $10m over HIV," November 17, 2015"," Sherrylyn A. Toppin,","                    HOLLYWOOD – Charlie Sheen, former star of the hit US television comedy Two And A Half Men, said yesterday he was diagnosed HIV-positive four years ago and had been extorted for more than US$10 million to keep the information quiet.Sheen, 50, told NBC’s Today TV show he was speaking out because he was being blackmailed, and to refute tabloid reports that he has AIDS and was spreading it to other people."
Blackett: The fight against HIV/AIDS continues," May 23, 2016"," NATASHA BECKLES,","                    BARBADOS HAS SEEN a gradual downward trend in the rate of new HIV infections, and a reduction in the number of AIDS-related deaths, but “the fight is not over”.Minister of Social Care, Constituency Empowerment and Community Development, Steven Blackett, made this assertion last Saturday at the Red Ribbon Awards Ceremony marking the 15th Anniversary of the National HIV/AIDS Commission, at Almond Bay, Christ Church. The ceremony was also used to recognise and honour a number of unsung ... "
Men urged to become involved in the fight against HIV/AIDS," July 20, 2016"," NATASHA BECKLES,","                     ... crucial stakeholders in the fight against HIV, as they are one of the key populations most vulnerable to the HIV epidemic. This call came today from Minister of Social Care, Constituency Empowerment and Community Development, Steven Blackett, who was addressing the National Assistance Board’s HIV Seminar for men fifty years and older and their sons, entitled, HIV...Men the Fight is Not Over, at the Accra Beach Hotel & Spa,.Making reference to data collected by the HIV National Health ... "
Sobering statistics as St Kitts and Nevis commemorates World Aids Day," December 02, 2016"," NATASHA BECKLES,","                     ... revealed that of the 270 persons in St Kitts and Nevis who are living with HIV and AIDS, only 61 are accessing treatment. She said this during her address in observance of World AIDS Day 2016, previously noting that globally approximately 36.7 million people are living with HIV, but only 18.2 million of them receive treatment.“There are approximately 270 persons in our country living with HIV – this number being garnered from the total number of reported cases minus the total number ... "
