,Title,Type/Region,Date,Author,Content
0,HIV Phobia,Opinion,"Feb. 18, 2010",By BEN SCHOTT,"A psychological condition, reported in China, whereby individuals are convinced they have HIV despite negative test results."
1,"On Hollywood, HIV, Alcohol and Warming",Opinion,"Jan. 27, 2011",By ANDREW C. REVKIN,"David Roberts has posted an interesting Grist interview with Sandra de Castro Buffington, who directs the Hollywood, Health and Society program at the University of Southern California."
2,Developer of HIV Drugs Raises $31 Million,Business Day,"Aug. 3, 2007",None,"Tobira Therapeutics, a new company developing a pair of HIV drugs, raised $31 million in a first round of funding led by Domain Associates. Other investors who threw in included Frazier Healthcare Ventures, Montreux Equity Partners, and Canaan Partners."
3,Monthly Shots Control HIV as Well as Pills in 2 Big Studies,Health,March 8,None,"Monthly shots of HIV drugs worked as well as daily pills to control the virus that causes AIDS in two large international tests, researchers reported Thursday."
4,Relapse of 'Cured' HIV Patients Spurs AIDS Science On,Asia Pacific,"Jan. 2, 2014",None,"Scientists seeking a cure for AIDS say they have been inspired, not crushed, by a major setback in which two HIV positive patients believed to have been cured found the virus re-invading their bodies once more."
5,"HIV Deaths Fall Below 1,000",N.Y. / Region,"Dec. 29, 2010",None,"Deaths from HIV in New York City fell below 1,000 in 2009 for the first time since the disease exploded in the 1980's, the city health department announced today."
6,London Man Seems to Be Free of HIV in Second Such Case,Health,March 5,None,"A London man appears to be free of the virus that causes AIDS after a stem cell transplant, the second success including the ""Berlin patient,"" doctors reported."
7,Charlie Sheen is HIV positive,Multimedia/Photos,"Nov. 17, 2015",None,"Former ""Two and A Half Men"" star Charlie Sheen said on Tuesday he is HIV positive and was diagnosed about four years ago. Linda So reports."
8,London HIV Patient Becomes World's Second AIDS Cure Hope,Europe,March 5,None,"An HIV-positive man in Britain has become the second known adult worldwide to be cleared of the AIDS virus after he received a bone marrow transplant from an HIV-resistant donor, his doctors said."
9,"LeRoy Whitfield, 36; Wrote of AIDS Battle",U.S.; Obituaries,"Oct. 16, 2005",None,"LeRoy Whitfield, a journalist who used a magazine column to chronicle the everyday struggles of people with H.I.V., died last Sunday at North General Hospital in Harlem. He was 36. The cause was AIDS-related complications, said his brother, Crofton Whitfield."
