Title,Date,Content
Marking 15 Years of US-Caribbean partnership to tackle HIV/AIDS, 30 November 2018,“This World AIDS Day we also celebrate the 15-year anniversary of the United States President’s Emergency Plan for AIDS Relief ...
New clinical management system to standardise HIV treatment in the OECS, 16 July 2018,"Grenada’s National Infectious Disease Control Unit (NIDCU), the Grenada Planned Parenthood Association (GPPA), and GrenCHAP will soon be able to ..."
Myths surrounding the spread of HIV still exist, 11 June 2018,Age-old myths surrounding the spread of HIV/AIDS still exist according to the finding of a study conducted by Senior Medical ...
Free HIV rapid testing in Carriacou & Petite Martinique, 17 April 2018,"“A team from GrenCHAP in Grenada will be providing free and confidential HIV rapid testing, to persons in Carriacou and ..."
Calls for Greater Inclusion of HIV Positive People in Prevention Campaigns and Policy Making, 4 December 2017,Policy makers are being reminded of the significant role that people living with HIV and AIDS can play in ensuring ...
HIV Testing and Health Expo for World AIDS Day Observance, 23 November 2017,"“World AIDS Day will be celebrated globally under the theme ‘Right To Health.’ In Grenada, the day will be observed with ..."
Schedule of Free HIV Testing Mobile Sites, 22 November 2017,Dates and venues for HIV testing from 14 November to 1 December (World AIDS Day) 2017.
Free HIV Testing, 21 November 2017,"“The National Infectious Disease Control Unit (NIDCU) of the Ministry of Health, informs the general public that there will be ..."
HIV and AIDS Awareness, 5 November 2017,"“Information today is widely available at everyone’s disposal, so let’s not become complacent. Don't let your guard down.”"
Grenada to Introduce Rapid Testing for HIV and Syphilis, 10 August 2017,"Rapid Testing is fairly new to the region and can provide a person’s results in minutes, as compared to lab ..."
Planned Parenthood & GrenCHAP Offered Free HIV Testing for Men, 21 June 2017,"Sylvester Gill said that Friday’s activity targeted mainly men, including fathers, encouraging them to know their status. “Our hope is ..."
Grenada Reports a Decrease in new HIV Cases for 2016, 5 December 2016,"Joining with the international community, Grenada marked World AIDS Day on 1 December, 2016 under the theme “Hands Up”."
National Queen Contestant Wants Everyone to Know Their HIV Status, 23 June 2016,"Having lost her mother due to HIV complications, young Kahdija Logie who will be representing the parish of St Patrick ..."
Librarians and Archivists participate in US International Visitor Leadership Program, 16 June 2016,A group of librarians and archivists from Barbados and the Eastern Caribbean have travelled to the United States as participants ...
National Workplace Policy on HIV and AIDS, 15 June 2016,"A policy that tackles head-on the stigma attached to HIV and AIDS at the workplace, has been launched."
Open-Letter on Shivnarine Chanderpaul’s Retirement, 3 February 2016,"“To true connoisseurs of real, attritional Test match cricket at its best, this is an irreparable loss, the end of ..."
