Title,Type,Content
HIV-AIDS organizations fear federal funding shift will lead to higher rates,Sexual Health,
A good death: Artist lived under shadow of HIV/AIDS for three decades,Local News,"As he prepared to die, Richard Darch walked onto his third-floor balcony for a final cigarette.It was just after 6 p."
Girl's HIV infection seems under control without AIDS drugs,Science,"A South African girl born with the AIDS virus has kept her infection suppressed for more than eight years after stopping anti-HIV medicines — more evidence that early treatment can occasionally cause a long remission that, if it lasts, would be a form of cure."
Cure for HIV and AIDS could be only a few years away,World,"The treatment would effectively 'engineer the body to cure itself from the inside,' experts said. Philadelphia researchers are confident human trials can begin in three years"
‘I mispoke’: Hillary Clinton apologizes for praising Nancy Reagan’s response to HIV/AIDS,World,Both Reagans have been widely criticized for being slow to acknowledge the AIDS crisis. It took President Reagan six years to acknowledge it in a speech
HIV-AIDS experts call for governments worldwide to commit to immediate treatment,World,Experts on HIV-AIDS gathered in Vancouver are calling on political leaders worldwide to take action to help end the global epidemic.
Make cheaper HIV/AIDS drugs available to all,National,Millions of people die in developing countries every year because they cannot get the medicines they need to treat illnesses like HIV/AIDS.
Local grannies gear up for 260-km ride to help AIDS victims in Africa,Local News,"Most of them are in their 70s now, having earned the right to sit back and watch the world go by.So, why is it that the Grassroot Grannies continue to take up their cause with a high-spirited trek on two wheels?The answer is simple."
Terror and grace: Kevin Hatt's 34-year journey with HIV,Local News,Kevin Hatt was working in a Montreal gay bar when he heard about a popular patron who had died suddenly of a mysterious illness.
"Around Town: Liberal MPs put ""a sock on it"" at CANFAR benefit for HIV prevention",Our Ottawa,"Openly gay Liberal MPs Randy Boissonnault, Scott Brison and Seamus O’Regan turned out to lend their support to a successful benefit night for the Canadian Foundation for AIDS Research, held Wednesday at the Schad upscale clothing and footwear boutique on Sussex Drive."
She was diagnosed with HIV at the age of 10. Now she tells her story ...,National,Loyce Maturu has shared the stage with Prince Harry and singer Elton John. But the Zimbabwean HIV activist's favourite so far has been Prime Minister Justin Trudeau.
"Around Town: CANFAR luncheon fights AIDS through ""collective advocacy""",Our Ottawa,"High up in the Rideau Club, surrounded by elegant decor and magnificent views of Parliament Hill, a gathering of mostly women came together for a quick lunch with a lasting impact on the research that’s being done in Canada to end AIDS."
"Big Tobacco sought to enhance own image by fighting AIDS, study says",Business,"With donations to HIV/AIDS groups and calls for more government action on the disease, Big Tobacco tried to steer authorities away from the smoking scourge"
