Title,Date,Author,Content
T&T  Minister Says ‘Viagra’ Men Need To Get HIV Tested,"March 12, 2019",Staff Writer - ,"                    Trinidad Express:-  Health Minister Terrence Deyalsingh says he is concerned that the nation’s men are not taking responsibility and getting tested for HIV.In fact, he...                "
Lions Club Makes Donation To HIV Patients,"March 7, 2019",Staff Writer - ,                    Press Release:- The Lions Club of Castries recently made a donation of food hampers to the Infectious Diseases Unit of the Department of Health...                
Second HIV Remission Patient Rekindles Hope Of Cure,"March 7, 2019",Staff Writer - ,"                    PARIS, France (AFP)— For just the second time ever an HIV patient is in sustained remission from the virus in what was hailed by...                "
US To Shiver In ‘Once-In-A-Generation’ Polar Vortex,"January 29, 2019",Staff Writer - ,"                    BBC:-  The US will shiver this week in a once-in-a-generation deep freeze, forecasters warn.The most extreme arctic blasts, caused by a spinning pool of cold...                "
"Eliminating HIV, TB and STIs The Focus Of New Grant Proposal Between OECS &...","January 22, 2019",Staff Writer - ,"                    Press Release:-  Efforts to continue developing a framework to overcome HIV, TB and STIs as a public health threat by 2022 is underway as OECS...                "
Rapid HIV & Syphilis Testing Available At Vieux Fort Clinic,"January 11, 2019",Staff Writer - ,"                    The Department of Health and Wellness has announced that as of January 15,  2019, Saint Lucians will be able to access services every Tuesday...                "
CMO Urges Saint Lucians To Get Tested For HIV,"December 1, 2018",Staff Writer - ,"                    Chief Medical Officer (CMO), Doctor Merlene Fredericks-James has urged Saint Lucians to get tested and know their HIV status.The CMO spoke as this country...                "
"OECS Strengthens Support For Persons Living With HIV, TB","November 26, 2018",Staff Writer - ,"                    Press Release:-  Efforts at developing a framework to strengthen mental health and psychosocial support for persons living with HIV and TB, their partners, families and...                "
"Concern Over Possible Drug Resistance to TB, HIV In Saint Lucia","October 19, 2018",Staff Writer - ,"                    Concern has been expressed over the possibility of drug resistance to tuberculosis and HIV in Saint Lucia, as a result of infected individuals not...                "
‘No spike in new HIV infections in Saint Lucia’,"September 19, 2018",Staff Writer - ,"                    Statistics from the Ministry of Health indicate that there is no spike in the number of new HIV related infections on island, the Ministry's...                "
Saint Lucia Conference told HIV not a ‘death sentence’,"August 29, 2018",Staff Writer - ,"                    The 15th annual Caribbean Cytometry & Analytical Society’s (CCAS) expert summit, currently underway here, has been told that ""everyone in society must know and...                "
"T&T: HIV claim fake, says THA official","July 27, 2018",Staff Writer - ,                    Trinidad Express:-  An official from the Tobago House of Assembly (THA) has spoken out against what he says is an attempt to tarnish his name...                
‘Time running out to reach HIV Targets’,"July 20, 2018",Staff Writer - ,"                    Press Release:-  UNAIDS is issuing countries with a stark wake-up call. In a new report, launched (on Wednesday) in Paris, France, at an event co-hosted with...                "
HIV vaccine shows promise in human trial,"July 7, 2018",Staff Writer - ,"                    BBC:-  An HIV vaccine that has the potential to protect people around the world from the virus has shown promising results.The treatment, which aims to...                "
"PANCAP Aims to Enhance HIV Prevention, Care, Treatment and Support with Knowledge Exchange Event","June 12, 2018",admin2 - ,"                    PRESS RELEASE: MULTI-DISCIPLINARY TEAM FROM JAMAICA, SURINAME AND THE REPUBLIC OF TRINIDAD AND TOBAGO EXPOSED TO DOMINICAN REPUBLIC'S SUCCESSFUL MODEL OF CAREMonday, 11 June 2018...                "
Second Meeting of Youth Leaders on Sexual and Reproductive Health and HIV and AIDS...,"May 15, 2018",admin2 - ,"                    PRESS RELEASE: PANCAP Youth Advocacy Steering Committee to Build Capacity of Youths in High-Level AdvocacyFriday, 11 May, 2018 (PANCAP Coordinating Unit, CARICOM Secretariat): The Pan-Caribbean Partnership...                "
"Sensitizing high-risk communities on tuberculosis, HIV","May 6, 2018",Staff Writer - ,"                    Press Release:-  Within the framework of World Tuberculosis Day celebrated on March 24, the coordination team of the OECS Tuberculosis/HIV Elimination Project conducted a one...                "
HIV data collection a challenge for OECS,"April 3, 2018",Staff Writer - ,"                    HIV data collection for key populations in the Organisation of Eastern Caribbean States (OECS), remains a challenge despite the many successes of the OECS...                "
Sixth Meeting of National AIDS Programme Managers and Key Partners Opens with Call for...,"March 13, 2018",admin2 - ,"                    PRESS RELEASE: Tuesday, March 13, 2018 (PANCAP Coordinating Unit, CARICOM Secretariat): The Pan-Caribbean Partnership against HIV and AIDS (PANCAP), the mechanism that provides a structured and...                "
Health Ministry holds rapid HIV testing,"March 1, 2018",Staff Writer - ,"                    Press Release:-  The Ministry of Health and Wellness through the Saint Lucia Community Nursing Service, undertook a community health outreach program in Aux Lyon, Dennery...                "
"New animation series on HIV prevention, control","February 18, 2018",Staff Writer - ,                    Press Release:-  The HIV/TB Elimination Project of the OECS Commission is working with partners to raise awareness and social responsibility around the issues of HIV...                
