Title,Date,Author,Content
World Health Organization encourages HIV self-testing,"November 29, 2016",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=BA5E9wsEbPw]WHO issues new guidance on HIV self-testing ahead of World AIDS Dayby the World Health Organization (WHO)In advance of World AIDS Day, the...                "
Retrieved archives from an infamous campaign,"November 16, 2015",Eric Jackson - ,"                    Archives of an infamous campaign: redemption in search of volunteerslinks to 2006 articles that hackers wanted to eraseWhodunnit? We don't know, but a series...                "
"Archives: An unauthorized look at US military activity in Panama, late 2010","December 25, 2010",Eric Jackson - ,"                    From the archives:https://web.archive.org/web/20110205022832/http://www.thepanamanews.com/pn/v_17/issue_01/news_02.htmlUS military activity in Panama (2010):Drones, bases and the Tropical Test CenterAntiwar activist John Lindsay-Poland tracks down US military activity in Panama...                "
La huella regional del Dr. Richard Cooke,"June 5, 2019",Eric Jackson - ,                    La trayectoria del renombrado arqueólogo del Instituto Smithsonian en Panamá abarca medio siglo y ha tenido un impacto importante en el campo de la...                
¿Wappin? Music for a rainy last day of May,"May 31, 2019",Eric Jackson - ,"                    Father and daughter, in the congo dancing fashion.Archive photo by Eric Jackson.Sonidos para el 31 de mayoMay 31 soundsYomira John – Mama Congohttps://youtu.be/C48fi2qtKn8Bob Marley...                "
"STRI, Los justicieros del bosque","May 28, 2019",Eric Jackson - ,"                    Para el turno nocturno, los guarda parques generalmente encuentran un lugar en el bosque donde puedan armar un campamento con hamacas. Allí permanecen alertas...                "
Larvas misteriosas en ambos océanos de Panamá,"May 15, 2019",Eric Jackson - ,"                    Con aspecto de extraterrestres, estas larvas de foronídeos se recolectaron en la Bahía de Panamá (Océano Pacífico). A-E muestra una larva en diferentes etapas...                "
"Gandásegui, No prospects for change in Panama","May 2, 2019",Eric Jackson - ,                    The next government that will be sworn in on July 1 will have its hands full with economic problems and a very complicated political...                
Campaigns approach their ends…,"April 30, 2019",Eric Jackson - ,"                    Panama goes to the polls on Sunday, May 5. All of the advertising is supposed to come down and further campaigning will be prohibited...                "
Los debates presidenciales formales,"April 11, 2019",Eric Jackson - ,"                    El candidato del PRD, Nito Cortizo, y el candidato independiente, Ricardo Lombana.Los debatesvideos por otros con una nota por el editorEsta recolección de videos...                "
World Health Statistics Report 2019,"April 6, 2019",Eric Jackson - ,                    Gender norms associating smoking with women’s freedom and liberation are being targeted to young women by the tobacco industry. Tobacco use remains a leading...                
"Gandasegui, These elections: left vs. right","April 5, 2019",Eric Jackson - ,"                    Got a month to decide. Archive photo from the 2014 election by Eric Jackson.Left and right in the electionsby Marco Gandásegui, hijoIt’s a month...                "
World Tuberculosis Day in the Americas,"March 24, 2019",Eric Jackson - ,                    https://youtu.be/3oI72OX-tFMThe Americas can end tuberculosis by 2030by the Pan-American Health OrganizationThe Region of the Americas can reach the...                
"Bigio, Branson y el fracaso de la intervención","March 23, 2019",Eric Jackson - ,"                    El show de Branson no condujo a la caída de Maduro, pero sí a ayudar a que un mes después los presidentes que asistieron...                "
The Trump State Department’s report on human rights in Panama,"March 16, 2019",Eric Jackson - ,                    Country Report on Human Rights Practices for 2018 – Panamaby the US Department of StateEXECUTIVE SUMMARYPanama is a multiparty constitutional democracy. In 2014 voters...                
"Gonzalez, Toppling Maduro? There is a history to such things…","February 28, 2019",Eric Jackson - ,                    Venezuela crisis: Trump threats to Maduro evoke bloody history of US intervention in Latin AmericaAn officer from Venezuela’s National Guard lobs tear gas toward...                
"The race for president, 2019","January 26, 2019",Eric Jackson - ,                    Blandón ~ Roux ~ Ameglio ~ Cortizo ~ Gómez ~ Lombana ~ MéndezIn the race for president of Panama…by Eric JacksonWho are the candidates?This...                
The independents: one may be the next president but it’s a broken process,"January 17, 2019",Eric Jackson - ,"                    The independents: flawed process, little chance of any remedyby Eric JacksonIn the runup to the 2014 elections, it was revealed that the Martinelli team...                "
Editorials: A truce for Pope Francis?; and King’s dream,"January 15, 2019",Eric Jackson - ,"                    Should Panamanians postpone all arguments for the pope's visit here?There are calls -- for the sakes of politeness, Panama's reputation, the economy, security against...                "
Estudio sobre pagos por servicios ecosistémicos,"January 11, 2019",Eric Jackson - ,"                    Cuenca del Río Chagres, cortesía de Archivos SmithsonianEstudio: costos y beneficios de pagos por servicios ecosistémicospor Sonia Tejada – STRILas personas que viven dentro...                "
What Democrats are saying,"December 8, 2018",Eric Jackson - ,                    What Democrats are saying [youtube https://www.youtube.com/watch?v=pUrz9Cg49BU] [youtube https://www.youtube.com/watch?v=jk5DzdaCIvc] [youtube https://www.youtube.com/watch?v=roI3v0wGMfQ] [youtube https://www.youtube.com/watch?v=wL5ucB3AbUs] [youtube https://www.youtube.com/watch?v=WwTDJpD8mqU] [youtube https://www.youtube.com/watch?v=mbvvFeFFmL4] ~ ~ ~These announcements are interactive. Click on them for more information.                 
"The Panama News blog links, December 3, 2018","December 3, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=e8IqwfCixCA]The Panama News blog linksa Panama-centric selection of other people's workuna selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation /...                "
This day in 1821…,"November 28, 2018",Eric Jackson - ,"                    When Panama went its separate way from Spainby Eric JacksonThe basic outlines we know, and in the mix of history and legend there are...                "
"The Panama News blog links, November 19, 2018","November 19, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=JXK9XdbhoNo]from the dispora…The Panama News blog linksa Panama-centric selection of other people's workuna selección Panamá-céntrica de las obras de otras personasCanal, Maritime &...                "
This day in 1821…,"November 10, 2018",Eric Jackson - ,                    Today in legend and historyby Eric JacksonWhat Panamanian guy would be so unpatriotic as to question the magnificence of Rufina Alfaro's tits? Or so...                
"The Panama News blog links, November 9, 2018","November 9, 2018",Eric Jackson - ,"                    [youtube https://www.youtube.com/watch?v=499IiZuEB8I]The Panama News blog linksa Panama-centric selection of other people's workuna selección Panamá-céntrica de las obras de otras personasCanal, Maritime & Transportation /...                "
"Jackson, This republic of ours","November 3, 2018",Eric Jackson - ,"                    This republic of oursa Panagringo perspective by Eric Jackson, cédula 3-721-1318Formally, Panama became an independent republic on this day back in 1903. Before then...                "
"Defense Committee, The Ancon Farmers Market","October 31, 2018",Eric Jackson - ,                    The Ancon Farmers Marketby the Comite de Defensa para la Continuidad de la Operacion del Mercado de AbastosSeven years ago there was the intention...                
"Castro Rodríguez, Political prisoners in Cuba","October 17, 2018",Eric Jackson - ,"                    Political prisoners in Cubaby Manuel Castro RodriguezCuba Archive has published on its website a report entitled ""How many political prisoners are there in Cuba?""...                "
Panamanian justice: 1000 cases and an astroturf roar of protest,"October 15, 2018",Eric Jackson - ,"                    1000+ cases on, the big one at a crossroads andunreasonable doubts raised about everythingby Eric JacksonOne of many exceptionally brazen motions deniedWhat? The Martinelli...                "
50 years ago this night…,"October 11, 2018",Eric Jackson - ,"                    50 years ago Panama made an acute turnby Eric JacksonOn October 11, 1968, with a recently inaugurated President Arnulfo Arias taking in a movie,...                "
The legislature: oozing rather than melting,"August 23, 2018",Eric Jackson - ,                    Were there more heat you might call it a systemic meltdownby Eric JacksonComptroller General Federico Humbert's revelations about the legislature are ever more astounding....                
¿Wappin? Monstrous Friday / Viernes Monstruoso,"August 17, 2018",Eric Jackson - ,                    Viernes MonstruosoMonstrous FridayEric Clapton & Stevie Winwood – Voodoo Chilehttps://youtu.be/zA4TIFS3yzoRomeo Santos & Tomatito – La Diabla/Mi Santahttps://youtu.be/Hz9lhqxl_gQDisturbed - The Vengeful Onehttps://youtu.be/8nW-IPrzM1gLos Beachers - El...                
"Jackson, Freedom of the press: who’s the enemy?","August 16, 2018",Eric Jackson - ,                    Who's the enemy? Whose enemy?by Eric JacksonPoliticians who incessantly lie dislike those who contradict them about factual matters. That's the gist of Donald Trump's...                
Editorials: Wimps in high places: and The Manafort trial,"August 14, 2018",Eric Jackson - ,"                    The Martinelli scandal explodes: What Now?Attorney General Kenia Porcell, whose performance in office is not above criticism but who ought to be believed in...                "
Roux wins the CD primary,"August 13, 2018",Eric Jackson - ,                    Roux to top a shrunken CD's ticketby Eric JacksonRómulo Roux won the Cambio Democratico presidential primary for the 2019 elections as convincingly as he...                
An electronic attack? The Panama News page on Facebook is partly disabled.,"July 30, 2018",Eric Jackson - ,"                    ¿¿¿ ???Facebook is going through some turmoil, the alt-right is in full inflammatory fake news scream on the social media (replete with bots to...                "
Martinelli trial to resume amidst plea bargain rumors,"July 21, 2018",Eric Jackson - ,                    Rumors of plea bargain talks (and denials)as the next phase of Martinelli's trial loomsby Eric JacksonNot long after Ricardo Martinelli left office in 2014...                
"Avnery, The March of Folly","July 20, 2018",Eric Jackson - ,                    The March of Follyby Uri Avnery -- Gush ShalomOne can look at events in Gaza through the left or through the right eye. One...                
Political triple-boiler heats up over the weekend,"July 7, 2018",Eric Jackson - ,"                    Three political cauldrons boiling at onceby Eric JacksonTo blow off legal proceedings for violating the Transparency Law, the National Assembly's presiding deputy Yanibel 'Abrego...                "
"Vawter, Guns don’t make us safer","July 4, 2018",Eric Jackson - ,"                    Guns don't make us safer -- and here's the proofby Norah Vawter -- OtherWordsOnce again, Americans are trying to wrap our heads around another...                "
Mayor Blandón is running for president,"July 3, 2018",Eric Jackson - ,"                    Panama City's mayor gives the Panameñista Party a candidate to climb the unclimbedby Eric JacksonOn Twitter and on television, Panama City's mayor, José Isabel...                "
Martinelli trial scheduled to start today,"June 25, 2018",Eric Jackson - ,                    Martinelli trial set to startby Eric JacksonA card misplayed and probably at the wrong time. Ricardo Martinelli can't be accused by ordinary prosecutors or...                
Pride 2018 — June 30 in Panama City,"June 17, 2018",Eric Jackson - ,"                    Pride Day in Panama: Saturday, June 30by Eric JacksonHow much has changed – and how much has stayed the same – in a short...                "
"Martinelli malingers, so it seems","June 14, 2018",Eric Jackson - ,"                    Martinelli mocks Panama with contrived health crisisby Eric JacksonYes, we heard from former first lady and Cambio Democratico vice presidential candidate Marta Linares de...                "
