Title,Date,Type,Content
                            HIV,"May 29, 2014",Local News,"It's urgent that you read this. Camille Lange, a Trinidadian doctoral student in her final year of research on HIV drug resistance in children…"
                            HIV DISCRIMINATION,"Apr 17, 2013",Local News,"Job hunting isn't for the faint of heart...sending dozens of resumes, waiting for interviews and in some cases...getting rejected by prospecti…"
                            HIV WALK,"Mar 9, 2013",Local News,"Recent news of a case in which a baby infected with HIV has reportedly been cured is encouraging, but it should not lessen our focus on this d…"
                            Living with HIV,"Nov 30, 2010",Local News,Jason Browne (not his real name) never knew his parents and he does not know how old he was when his mother left him at a hospital. It was the…
                            Living with HIV,"Jan 30, 2010",Local News,"SIXTEEN years ago, David Soomarie woke up to realise he was not dreaming. "
"                            HIV, but upbeat","Nov 30, 2008",Local News,"""I had everything wrong,"" David Soomarie reflects on his sexual initiation. ""I had no clear idea. There were no conversations about sex. I did…"
                            HIV home test kits,"Nov 27, 2016",Local News,"THE Ministry of Health is advising against using the HIV home testing kits now available locally. Instead, people are being urged to go to a M…"
                            Sound the alarm on HIV,"Jul 14, 2016",Local News,"AMIDST all the health issues which gained front-page headlines this past week, another equally urgent one, which may have gone unnoticed, shou…"
                            HIV AIDS PROGRAMME,"Feb 3, 2015",Local News,While the number of persons infected with the Human Immuno Virus is said to have fallen in the Caribbean region. HIV is actually on the increa…
                            I took the HIV test,"Nov 30, 2014",Local News,"THE stigma, discrimination and fear of a positive result for HIV/AIDS could be paralysing . "
                            HIV AIDS SEMINAR,"Nov 24, 2014",Local News,Changing the conversation has been recognised as key to the fight against HIV and AIDS. 
                            HIV/Aids on the rise in Tobago,"Sep 23, 2014",Local News,Store Bay 
                            HIV RESIDENT WANTS HOME,"Sep 25, 2013",Local News,The effects of this year's rainy season have left one Morvant resident in panic and fear. 
                            Carnival HIV warning,"Feb 2, 2013",Local News,"FOR many, Carnival is a time to 'free up', but it is also a high-risk period for transmission of sexually transmitted diseases, yet there has …"
                            Men skipping HIV tests,"Nov 30, 2011",Local News,THERE is a disparity between male and female people in Trinidad and Tobago going to get tested for HIV with males accounting for approximately…
                            US $$ for HIV awareness,"Oct 11, 2011",Local News,"The United States Embassy will award $380,000 in grants to fund education and outreach initiatives to nationals in an effort to increase HIV/A…"
                            Women of faith on the HIV frontlines,"Oct 6, 2011",Local News,"Young men had been becoming ill, deteriorating rapidly and dying. But by the time his body was wheeled into the last room of a corridor at the…"
                            Verna warns of 'HIV' rapists,"Oct 20, 2011",Local News,"Many of the those who engage in gang rape would ensure that one of the members in their gang is HIV-positive, Minister of Social Development a…"
                            My Life with HIV,"Jun 9, 2011",Local News,"She had gone to a party the night before. Ritzy remembrances swirled through her mind as she got into bed. The soiree had been ""fabulous"". She…"
                            Candlelight Memorial For Hiv Awareness,"May 13, 2011",Local News,"The Social Services Delivery Unit Candlelight Memorial, takes place today at Radio Toco from 5.30 p.m, followed by a procession to the Regiona…"
                            Proud to be HIV positive,"Feb 18, 2011",Local News,Jonniebelle Welch thanks her God she has HIV. 
